,title,year_published,min_players,max_players,play_time,pt_min,pt_max,age,categories,mechanics,subdomain,num_honors
15602,Armageddon,1988,3,6,360,360,360,12,"['Fantasy', 'Wargame']",[],Wargames,0
15702,Samas,2004,2,2,10,10,10,0,"['Abstract Strategy', 'Racing']",[],Abstract Games,0
15703,Dreadnought: Return to the Dreadnoughts Age!,1986,1,2,360,360,360,12,"['Nautical', 'Wargame', 'World War I']",[],Wargames,0
15704,Seventh Armored Division: Red Typhoon ‘95,1987,1,2,360,360,360,13,"['Modern Warfare', 'Wargame']",[],Wargames,0
15705,"The Battle of Bautzen: Napoleon vs. Wittgenstein, 20-21 May 1813",1987,1,2,360,360,360,12,"['Napoleonic', 'Wargame']",[],Wargames,0
15706,Sun of Austerlitz,1987,1,2,360,360,360,0,"['Napoleonic', 'Wargame']",[],Wargames,0
15707,Fifth Division: Soviet Coming from our Lost Territory,1987,1,2,360,360,360,12,"['Modern Warfare', 'Wargame']",[],Wargames,0
16000,1825 Unit 2,2000,2,4,180,180,180,12,"['Trains', 'Transportation']",[],Strategy Games,0
16200,"Lernabenteuer Papier & Co., Was gehört wohin?",2005,1,4,20,20,20,5,"['Educational', 'Environmental']",[],Children's Games,0
16300,Hakodate 1869,2000,1,2,60,60,60,12,['Wargame'],[],Wargames,0
16301,Atlantis,1975,1,2,5,5,5,10,"['Abstract Strategy', 'Exploration']",[],Abstract Games,0
16302,Battle of the Coral Sea,1985,1,2,360,360,360,12,"['Nautical', 'Wargame', 'World War II']",[],Wargames,0
16303,Malay Campaign,1984,1,2,360,360,360,0,"['Wargame', 'World War II']",[],Wargames,0
16500,Highland Clans,2005,3,5,60,45,60,8,"['Medieval', 'Territory Building']",[],Family Games,0
16502,Clash of Empires,1984,1,2,360,360,360,12,"['Miniatures', 'Post-Napoleonic', 'Wargame']",[],Wargames,0
16503,Civil War Pigs,2000,2,8,90,90,90,8,"['American Civil War', 'Civil War', 'Humor', 'Miniatures', 'Wargame']",[],Wargames,0
16600,Robert the Bruce,1978,2,6,15,15,15,10,"['Medieval', 'Wargame']",[],Wargames,0
16601,Star Trek: The Invasion of Klingon Empire,1982,2,4,240,240,240,0,"['Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']",[],Wargames,0
16603,"Indian Ocean Adventure: The Japanese Raids on Ceylon, 1942",1978,2,2,120,120,120,12,"['Nautical', 'Wargame', 'World War II']",[],Wargames,0
16800,Gawp,1996,1,8,30,30,30,7,"['Abstract Strategy', 'Card Game']",[],Abstract Games,0
16801,Triune,1989,2,4,0,0,0,0,['Abstract Strategy'],[],Abstract Games,0
16802,Mastermind Challenge,1993,2,2,30,30,30,8,"['Abstract Strategy', 'Deduction']",[],Abstract Games,0
17000,The Highest Ground,1997,2,2,60,60,60,12,"['Ancient', 'Modern Warfare', 'Science Fiction', 'Wargame']",[],Wargames,0
17200,Thomas the Tank Engine & Friends Domino Game,1998,2,4,15,15,15,3,"[""Children's Game"", 'Memory', 'Movies / TV / Radio theme', 'Novel-based', 'Trains']",[],Children's Games,0
17201,Thomas the Tank Engine & Friends ABC Game,1998,2,4,0,0,0,3,"[""Children's Game"", 'Educational', 'Movies / TV / Radio theme', 'Novel-based', 'Trains', 'Word Game']",[],Children's Games,0
17400,1825 Regional Kit R3: North Norfolk,1997,2,5,120,120,120,14,"['Economic', 'Expansion for Base-game', 'Trains', 'Transportation']",[],Strategy Games,0
17900,The Kites and Darts Game,2004,1,5,0,0,0,0,"['Abstract Strategy', 'Math', 'Puzzle']",[],Abstract Games,0
17901,King of the Sea,1975,2,4,0,0,0,7,"['Action / Dexterity', ""Children's Game"", 'Fighting', 'Nautical', 'Territory Building']",[],Children's Games,0
17902,Alesia,1985,2,2,180,180,180,12,"['Ancient', 'Wargame']",[],Wargames,0
17903,"Fuzzi, Heinz und Schlendrian",1983,2,4,30,30,30,7,"[""Children's Game"", 'Trains']",[],Children's Games,1
18100,China,2005,3,5,45,45,45,12,"['Ancient', 'Territory Building']",[],Strategy Games,0
18400,Battle Beyond Space,2012,3,4,60,30,60,13,['Science Fiction'],[],Thematic Games,0
18401,Wacht Am Rhein,2005,1,4,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,0
18500,Sator Arepo Tenet Opera Rotas,2008,2,4,60,60,60,8,"['Fantasy', 'Maze']",[],Strategy Games,0
18900,Altar,1987,2,2,360,6,360,12,['Abstract Strategy'],[],Abstract Games,0
18901,Monopoly: Here and Now,2005,2,8,180,180,180,8,"['Economic', 'Negotiation']",[],Family Games,0
18902,Sputnik,2005,2,6,15,15,15,7,"['Abstract Strategy', 'Space Exploration']",[],Abstract Games,0
19100,Hacienda,2005,2,5,90,60,90,10,"['Animals', 'Economic', 'Farming', 'Territory Building']",[],Strategy Games,3
19101,Over and Out,2002,2,8,30,30,30,7,"['Card Game', ""Children's Game"", 'Number']",[],Children's Games,0
19103,Fire Brigade,2000,2,2,0,0,0,12,"['Miniatures', 'Wargame', 'World War II']",[],Wargames,0
19400,A Game of Thrones: A Storm of Swords Expansion,2006,3,4,180,120,180,12,"['Bluffing', 'Expansion for Base-game', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']",[],Strategy Games,0
19600,Antike,2005,2,6,120,120,120,12,"['Ancient', 'Civilization', 'Fighting', 'Nautical', 'Territory Building']",[],Strategy Games,5
19800,Down in Flames: WWI,2005,2,8,60,60,60,10,"['Aviation / Flight', 'Card Game', 'Print & Play', 'Wargame', 'World War I']",[],Wargames,0
19901,Tank War,1985,2,2,120,120,120,12,"['Miniatures', 'Wargame', 'World War II']",[],Wargames,0
19902,Shiloh: April Glory,2010,2,2,180,180,180,12,"['American Civil War', 'Wargame']",[],Wargames,0
19903,The Battle of Monmouth,2008,2,2,1200,240,1200,8,"['Age of Reason', 'American Revolutionary War', 'Wargame']",[],Wargames,0
20100,Wits & Wagers,2005,3,7,25,25,25,10,"['Bluffing', 'Party Game', 'Trivia']",[],Party Games,7
20101,Kaivai,2005,3,4,120,120,120,12,"['City Building', 'Civilization', 'Economic', 'Nautical']",[],Strategy Games,0
20200,Oil Barons,1984,1,8,120,120,120,10,"['Electronic', 'Exploration', 'Industry / Manufacturing', 'Territory Building']",[],Abstract Games,0
20300,Chickamauga River of Death,1983,2,6,240,240,240,12,"['American Civil War', 'Post-Napoleonic', 'Wargame']",[],Wargames,0
20301,Planetarium,1998,2,2,20,20,20,0,"['Abstract Strategy', 'Educational']",[],Abstract Games,0
20302,Punch!,2005,2,2,15,15,15,8,"['Bluffing', 'Card Game', 'Print & Play', 'Sports']",[],Family Games,0
21600,Global Conflict: Vietnam 1970,2005,2,5,240,240,240,12,"['Miniatures', 'Vietnam War', 'Wargame']",[],Wargames,0
21601,Disney Princess Gowns & Crowns Game,2005,2,4,30,30,30,4,"[""Children's Game"", 'Dice', 'Fantasy', 'Movies / TV / Radio theme']",[],Children's Games,0
22200,Missing Match-Ups: Sesame Street,1976,2,2,0,0,0,3,"[""Children's Game"", 'Educational', 'Memory', 'Movies / TV / Radio theme', 'Puzzle']",[],Children's Games,0
22201,Catch Zoboo If You Can!,2000,2,4,15,15,15,3,"['Animals', ""Children's Game"", 'Memory']",[],Children's Games,0
22900,Trilli-Trilli,0,2,4,0,0,0,3,"['Animals', ""Children's Game"", 'Dice']",[],Children's Games,0
23100,Strike Force: Eagles,2006,2,2,40,40,40,12,"['Modern Warfare', 'Wargame']",[],Wargames,0
23300,Dungeon Twister: Minotaur,2006,2,2,60,60,60,11,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Fantasy', 'Fighting', 'Maze']",[],Strategy Games,0
23400,Napoleon at the Crossroads,2006,2,4,180,180,180,12,"['Napoleonic', 'Wargame']",[],Wargames,1
23401,Scoop 'em Up,0,2,4,15,15,15,3,"['Card Game', ""Children's Game""]",[],Children's Games,0
23500,Mondreise,2005,2,4,10,10,10,3,"[""Children's Game"", 'Memory']",[],Children's Games,0
23700,Smoke on the Water,1996,2,2,60,60,60,12,"['American Civil War', 'Nautical', 'Wargame']",[],Wargames,0
23702,Heat of Battle: FireFights! 2,2005,2,2,60,60,60,12,"['Expansion for Base-game', 'Wargame', 'World War II']",[],Wargames,0
24300,Iron Stars: Southern Front,2006,2,4,0,0,0,12,"['Miniatures', 'Science Fiction', 'Wargame']",[],Wargames,0
24301,Nobel,1988,2,6,150,150,150,0,"['Negotiation', 'Political']",[],Family Games,0
24700,Knights in the Sky,2005,2,6,0,0,0,12,"['Aviation / Flight', 'Miniatures', 'Wargame', 'World War I']",[],Wargames,0
24701,MiG Hunters,2005,2,6,0,0,0,12,"['Miniatures', 'Wargame']",[],Wargames,0
24702,Kleine Lok,1997,2,6,20,20,20,5,"[""Children's Game"", 'Memory', 'Number', 'Trains']",[],Children's Games,0
24703,Heroscape Marvel: The Conflict Begins,2007,2,2,60,60,60,8,"['Comic Book / Strip', 'Fighting', 'Miniatures']",[],Thematic Games,2
24704,Stratego: Marvel Heroes,2007,2,2,0,0,0,8,"['Abstract Strategy', 'Bluffing', 'Comic Book / Strip', 'Deduction', 'Memory']",[],Abstract Games,0
24705,Strandhogg,2003,1,0,150,150,150,12,"['Adventure', 'Fighting', 'Medieval', 'Miniatures', 'Wargame']",[],Wargames,0
24800,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,2008,1,4,120,120,120,10,"['Wargame', 'World War II']",[],Wargames,12
24802,Frontline General,2008,2,10,180,180,180,12,"['Miniatures', 'Wargame', 'World War II']",[],Wargames,0
24900,Dhaemon,0,2,2,30,30,30,0,"['Abstract Strategy', 'Ancient']",[],Abstract Games,0
24901,Bunny Hop,2005,2,5,15,15,15,3,"['Action / Dexterity', 'Animals', ""Children's Game"", 'Memory']",[],Children's Games,0
24902,Bienenkönigin,1973,2,4,30,30,30,8,"['Abstract Strategy', 'Animals']",[],Abstract Games,0
